Date,Price
1990-01-01,890207381
1990-01-02,951050133
1990-01-03,843822439
1990-01-04,789028666
1990-01-05,817482787
1990-01-06,748110048
1990-01-07,800394797
1990-01-08,643743169
1990-01-09,768081024
1990-01-10,863737366
1990-01-11,822274840
1990-01-12,500317861
1990-01-13,999907493
1990-01-14,685013695
1990-01-15,882479549
1990-01-16,737381413
1990-01-17,803236933
1990-01-18,588387101
1990-01-19,682875270
1990-01-20,834209714
1990-01-21,718388195
1990-01-22,546343680
1990-01-23,923812472
1990-01-24,860644694
1990-01-25,918463458
1990-01-26,796965720
1990-01-27,544127263
1990-01-28,770711633
1990-01-29,634861689
1990-01-30,866478464
1990-01-31,686879637
1990-02-01,855886916
1990-02-02,996584602
1990-02-03,557108617
1990-02-04,708664217
1990-02-05,933164549
1990-02-06,650098469
1990-02-07,980168336
1990-02-08,965050034
1990-02-09,598333875
1990-02-10,546344826
1990-02-11,736764845
1990-02-12,866218663
1990-02-13,642240361
1990-02-14,638457561
1990-02-15,850894688
1990-02-16,724081523
1990-02-17,643089814
1990-02-18,764982944
1990-02-19,845563169
1990-02-20,986179811
1990-02-21,576597747
1990-02-22,867039084
1990-02-23,769805863
1990-02-24,791174376
1990-02-25,519401603
1990-02-26,685789620
1990-02-27,526023537
1990-02-28,996718339
1990-03-01,736812599
1990-03-02,833393905
1990-03-03,817714658
1990-03-04,543958602
1990-03-05,815994359
1990-03-06,716722664
1990-03-07,654396038
1990-03-08,893278258
1990-03-09,996852632
1990-03-10,944425045
1990-03-11,588537551
1990-03-12,780379341
1990-03-13,691574957
1990-03-14,837929832
1990-03-15,638514660
1990-03-16,534628473
1990-03-17,565233434
1990-03-18,682683825
1990-03-19,697373393
1990-03-20,899655183
1990-03-21,893547076
1990-03-22,947238511
1990-03-23,522490171
1990-03-24,867109935
1990-03-25,928375336
1990-03-26,702717687
1990-03-27,850322433
1990-03-28,817090486
1990-03-29,738147842
1990-03-30,834355595
1990-03-31,910547750
1990-04-01,795264330
1990-04-02,657303198
1990-04-03,885325435
1990-04-04,887626499
1990-04-05,615418728
1990-04-06,522145191
1990-04-07,633679345
1990-04-08,631643949
1990-04-09,529171279
1990-04-10,635285873
1990-04-11,786958861
1990-04-12,989259046
1990-04-13,642999507
1990-04-14,713466206
1990-04-15,771585224
1990-04-16,990800647
1990-04-17,739783150
1990-04-18,940035708
1990-04-19,807411491
1990-04-20,823457266
1990-04-21,930349072
1990-04-22,708027623
1990-04-23,776945628
1990-04-24,878382677
1990-04-25,790012692
1990-04-26,831924203
1990-04-27,877648634
1990-04-28,648155601
1990-04-29,568920570
1990-04-30,612195027
1990-05-01,923230912
1990-05-02,559483027
1990-05-03,833386999
1990-05-04,918791917
1990-05-05,998527616
1990-05-06,574999148
1990-05-07,956980972
1990-05-08,908430367
1990-05-09,580184780
1990-05-10,950490326
1990-05-11,976497609
1990-05-12,636500353
1990-05-13,718143673
1990-05-14,717097677
1990-05-15,535529625
1990-05-16,801001550
1990-05-17,856302100
1990-05-18,524162499
1990-05-19,781751958
1990-05-20,521302652
1990-05-21,731221310
1990-05-22,794076282
1990-05-23,987992250
1990-05-24,602208770
1990-05-25,788969516
1990-05-26,978673755
1990-05-27,710322083
1990-05-28,867381827
1990-05-29,508916512
1990-05-30,713031378
1990-05-31,927630835
1990-06-01,584085982
1990-06-02,928052797
1990-06-03,679079553
1990-06-04,994567245
1990-06-05,855447640
1990-06-06,981608895
1990-06-07,505023376
1990-06-08,583454506
1990-06-09,609748672
1990-06-10,768420201
1990-06-11,684198509
1990-06-12,937660170
1990-06-13,822258435
1990-06-14,748111279
1990-06-15,781295681
1990-06-16,873025654
1990-06-17,846862590
1990-06-18,779977462
1990-06-19,830732798
1990-06-20,675221945
1990-06-21,907371616
1990-06-22,711049728
1990-06-23,689878795
1990-06-24,877886753
1990-06-25,576117493
1990-06-26,752788753
1990-06-27,868792730
1990-06-28,684924189
1990-06-29,573914824
1990-06-30,996482816
1990-07-01,703964182
1990-07-02,565670623
1990-07-03,815463056
1990-07-04,735783143
1990-07-05,970869218
1990-07-06,873567410
1990-07-07,617357325
1990-07-08,693030724
1990-07-09,861125026
1990-07-10,621683598
1990-07-11,526389071
1990-07-12,887791937
1990-07-13,575415431
1990-07-14,595990223
1990-07-15,726785763
1990-07-16,950695019
1990-07-17,790605134
1990-07-18,620789445
1990-07-19,621466287
1990-07-20,912380346
1990-07-21,987046920
1990-07-22,895195530
1990-07-23,506920213
1990-07-24,532343767
1990-07-25,939861196
1990-07-26,823952742
1990-07-27,637005255
1990-07-28,678395592
1990-07-29,555068759
1990-07-30,666655855
1990-07-31,803987525
1990-08-01,933101590
1990-08-02,803877380
1990-08-03,830499075
1990-08-04,708090090
1990-08-05,662353109
1990-08-06,566886816
1990-08-07,632275717
1990-08-08,833531199
1990-08-09,590075503
1990-08-10,897929273
1990-08-11,953477392
1990-08-12,950080430
1990-08-13,605990136
1990-08-14,778481430
1990-08-15,998119819
1990-08-16,529523022
1990-08-17,832842387
1990-08-18,890742125
1990-08-19,897776256
1990-08-20,982244499
1990-08-21,920006313
1990-08-22,737551074
1990-08-23,972939355
1990-08-24,706876821
1990-08-25,699626183
1990-08-26,594337080
1990-08-27,801741604
1990-08-28,846703232
1990-08-29,950868975
1990-08-30,720110896
1990-08-31,746303703
1990-09-01,809605470
1990-09-02,706820270
1990-09-03,695146976
1990-09-04,717561819
1990-09-05,939388286
1990-09-06,723303410
1990-09-07,693329224
1990-09-08,814770714
1990-09-09,500882529
1990-09-10,733105461
1990-09-11,845767183
1990-09-12,688559113
1990-09-13,757854288
1990-09-14,545329346
1990-09-15,772991341
1990-09-16,801650937
1990-09-17,962087111
1990-09-18,924562062
1990-09-19,654212030
1990-09-20,548322564
1990-09-21,586614188
1990-09-22,720626385
1990-09-23,641212709
1990-09-24,918906124
1990-09-25,688825840
1990-09-26,882211200
1990-09-27,770740272
1990-09-28,502874134
1990-09-29,597725872
1990-09-30,786874041
1990-10-01,552260553
1990-10-02,726341694
1990-10-03,747578884
1990-10-04,773732269
1990-10-05,638102691
1990-10-06,690123067
1990-10-07,930975734
1990-10-08,698519699
1990-10-09,672071667
